row_id,source_system,reported_by,reported_by_tax_id,reported_by_country,declared_supplier,declared_supplier_tax_id,declared_supplier_country,relationship_type,last_updated,notes
335,portal_v1,alpine weaving s.l.,ES88454746C,España,Cornerstone Fasteners S.A.,ES20546820H,ES,materia prima,2022-04-11,Fournisseur validé lors de l'audit 2022
336,portal_v1,Alpine Materials Ltd.,GB409940422,GB,"prime electronics co., ltd.",VE8QMU72MHTLP9NJ96,China,finishing,2024-03-04,Pending re-confirmation
337,legacy_manual_import,NotrhGate Textiles S.A.,ES60227680G,ES,highland plastics s.p.a.,it24406348066,Italia,finishing,03-17-2022,
338,portal_v2,oakridge packaging sas,,France,Meridian Yarns Sp.z  o.o.,PL8435722373,Poland,logistics,23/02/2023,
339,portal_v2,Anatolian Metals SARL,FR62182564559,FR,horizon solutions sp. z o.o.,PL4837332964,PL,logistics,25/03/2025,"Data provided via phone, not verified"
340,portal_v2,PACIFIC MACHINERY LDA.,PT721441525,PT,CORNERSTONE FOUNDRY S.R.L.,IT91202848475,Italia,logistics,25/03/2023,
341,portal_v2,RHINE TOOLING AG,,Germany,ALPINE COATINGS SARL,102439281045618,Morocco,materia prima,14/08/2024,Fournisseur validé lors de l'audit 2022
342,legacy_manual_import,Meridian Assebmlies Sp. z o.o.,PL3793702943,Poland,Alpine Assemblies A.Ş.,1619347714,Türkiye,dyeing,02-22-2022,Fornecedor homologado em 2023
343,legacy_manual_import,UNITED LEATHER SP. Z O.O.,PL046433592,Poland,premier materials sp. z o.o.,PL5659235740,Poland,finishing,01-03-2023,Fornecedor homologado em 2023
344,legacy_manual_import,United  Leather  Sp.  z  o.o. ,PL0846433592,Poland,Premier Materials Sp .z o.o.,PL5659235740,Polska,RAW_MATERIAL,08-18-2022,"Data provided via phone, not verified"
345,legacy_manual_import,meridian fasteners ltd.,GB212776106,GB,MERIDIAN ASSEMBLIES SP. Z O.O.,PL 3793702943,Poland,components,12-06-2022,"Data provided via phone, not verified"
346,portal_v2,Westport Electronics SARL,394225258329500,MA,Pacific Dyeworks BV,NL382948470B92,Netherlands,components,03/10/2024,
347,portal_v2,redstone chemicals lda.,PT253396557,Portugal,Eastfield  Group  GmbH ,,Germany,dyeing,19/10/2023,
348,portal_v2,Highland Plastics S.p.A.,IT24406348066,IT,"UNITED ASSEMBLIES CO., LTD.",6926242393,Vietnam,subcontracted_labor,13/10/2023,Şirket 2021'de denetlendi
349,legacy_manual_import,iberian machinery ltd.,GB910116526,United Kingdom,Redstone Electronics B.V.,NL912755756B86,NL,raw material,04-15-2025,
350,legacy_manual_import,Irongate  Alloys  A.Ş. ,6888337780,Türkiye,Silverline  Polymers  Sp.  z  o.o. ,PL7353254094,Poland,raw material,03-06-2025,
351,portal_v2,Atlantic Logistics S.r.l.,IT04077145284,Italia,Apex Circuits SpA,IT59296256706,IT,RAW_MATERIAL,10/11/2023,Backup supplier - low volume
352,portal_v1,PREMIER COATINGS A.Ş.,4752892539,TR,Summit  Tooling  S.L. ,ES17820269F,España,Raw Material,2025-01-13,
353,portal_v2,Golden Tooling Sp z oo,PL2144229485,PL,Oakridge Logistics AŞ,,TR,finishing,,Contact information outdated
354,portal_v2,Andean Assemblies SpA,IT38826320735,Italia,Pacific Machniery Lda.,PT721441525,PT,packaging,08/12/2024,
355,portal_v2,Alpine Weaving S.L.,ES88454746C,Espagne,"Pacific Machinery Co, Ltd",4Z7XKKST8VZHE9JLQ5,China,components,23/09/2024,
356,portal_v1,VANTAGE ALLOYS SARL,193008687593586,Maroc,Vantage  Assemblies  SAS ,,FR,dyeing,2025-06-04,
357,portal_v2,Northgate Machinery Ltd,GB144982519,United Kingdom,crestwood metals sarl,9766945-69801375,MA,components,06/08/2022,segÃºn acuerdo
358,portal_v1,anatolian metals sarl,FR62182564559,FR,HORIZON SOLUTIONS SP. Z O.O.,pl4837332964,PL,component,2022-08-17,Confirmación pendiente por parte del proveedor
359,portal_v2,Alpine Weaving S.L.,ES88454746C,ES,"Pacific Machinery Co., Ltd.",4Z7XKKST8VZHE9JLQ5,CN,finishing,22/03/2023,"Data provided via phone, not verified"
360,portal_v2,NORDIC MATERIALS GMBH,DE502141043,DE,"Royal Trading Co., Ltd.",7398432518,Vietnam,materia prima,02/01/2022,Fornecedor homologado em 2023
361,portal_v2,"united assemblies co., ltd.",6926242393,Vietnam,stonebridge plastics gmbh,DE885-551925,Germany,components,29/06/2025,Pending re-confirmation
362,portal_v2,REDSTONE CHEMICALS LDA.,PT253396557,Portugal,EASTFIELD GROUP GMBH,DE632131355,Germany,component,20/01/2022,Confirmación pendiente por parte del proveedor
363,portal_v1,Danube Components Sp z oo,PL8781446242,Poland,stonebridge tooling sarl,251361799399069,Maroc,Raw Material,2024-12-23,Backup supplier - low volume
364,portal_v2,Atlantic  Logistics  S.r.l. ,IT04077145284,Italy,Alpnie Weaving S.L.,ES88454746C,Espagne,Raw Material,,Contrato renovado según acuerdo marco
365,portal_v1,meridian fasteners ltd.,gb212776106,United Kingdom,Nordic Fibers SAS,FR32114540305,FR,logistics,2025-09-23,Contact information outdated
366,legacy_manual_import,=SUM(A1:A2),,Poland,GOLDEN STEEL SARL,012089444331070,Maroc,components,05-01-2022,Backup supplier - low volume
367,portal_v1,Premier  Coatings  A.Ş. ,4752892539,TR,Highland  Weaving  A.Ş. ,8152837670,Turkey,RAW_MATERIAL,2023-03-15,Société certifiée ISO 9001
368,portal_v2,Horizon  Manufacturing  AG ,DE431839337,Deutschland,United Foundry Lda,PT323269615,PT,dyeing,12/03/2025,
369,portal_v1,Northgate  Circuits  Ltd. ,GB715429489,UK,Iberian Plastics SL,ES85181933E,ES,materia prima,2025-04-22,Fornecedor homologado em 2023
370,portal_v2,Continental  Fasteners  SARL ,524296237088409,MA,United Machinery tLd.,GB286459114,GB,raw material,24/03/2022,Pending re-confirmation
371,legacy_manual_import,Copperfield Metals A.Ş.,9918536797,TR,Anatolian  Materials  A.Ş. ,2337786746,Turkey,raw material,01-02-2022,
372,legacy_manual_import,Atlantic Logistics S.r.l.,IT04077145284,Italia,Southbay  Logistics  S.r.l. ,IT40684690723,IT,dyeing,05-16-2025,
373,portal_v2,WESTPORT TRADING A.Ş.,92 38434939,TR,"Hoirzon Weaving Co., Ltd.",2K2JHK5BH36K3HTFHF,China,components,11/02/2025,segÃºn acuerdo
374,portal_v1,Andean Letaher Pvt. Ltd.,02HCGCH-6332A1Z5,India,vantage textiles s.a.,ES30633873E,Espagne,raw_material,2022-03-24,Confirmación pendiente por parte del proveedor
375,legacy_manual_import,northgate textiles s.a.,ES60227680G,España,VANTAGE ALLOYS SARL,193008687593586,MA,component,12-08-2022,Pending re-confirmation
376,portal_v2,"Meridian Foundry Co., Ltd.",6936664761,Vietnam,"SUMMIT MACHINERY CO., LTD.",,VN,packaging,21/06/2022,
377,portal_v2,Irongate Alloys A.Ş.,6888337780,Türkiye,Royal Coatings S.L.,ES73413748E,España,component,05/03/2022,Contrato renovado según acuerdo marco
378,portal_v2,Silverline Leather SL,,España,BALTIC LEATHER PVT. LTD.,95OEZWM3402A1Z5,India,dyeing,29/01/2022,Şirket 2021'de denetlendi
379,portal_v2,Silverline  Chemicals  SAS ,FR67254489366,France,prime polymers s.l.,ES49180374G,España,components,24/07/2022,Fournisseur validé lors de l'audit 2022
380,portal_v2,"United Assemblies Co, Ltd",6926242393,VN,Global  Circuits  GmbH ,720227574,Deutschland,logistics,03/10/2023,Fournisseur validé lors de l'audit 2022
381,portal_v1,Westport Trading A.Ş.,9238434939,Türkiye,"Crestwood Yarns Co., Ltd.",QDTRK1B2ZX2X1DSSZM,CN,raw material,2023-05-13,
382,legacy_manual_import,Golden  Tooling  Sp.  z  o.o. ,PL2144229485,PL,Global Alloys SARL,FR02653954607,FR,RAW_MATERIAL,02-04-2023,Fornecedor homologado em 2023
383,portal_v2,HIGHLAND PLASTICS S.P.A.,IT24406348066,IT,atlantic industries b.v.,NL118466507B21,Holland,RAW_MATERIAL,,
384,portal_v1,silverline chemicals sas,FR67254489366,FR,Prime Polymers S.L.,,Espagne,component,2025-03-01,Backup supplier - low volume
385,portal_v1,Oakridge Fsateners Lda.,,PT,Alpine Tradin gSARL,274958225941535,MA,raw material,2025-03-19,Contrato renovado según acuerdo marco
386,portal_v2,Golden  Tooling  Sp.  z  o.o. ,PL2144229485,Polska,LAKESIDE ELECTRONICS SARL,FR82775299571,FR,dyeing,04/02/2024,
387,legacy_manual_import,=SUM(A1:A2),,Poland,GOLDEN STEEL SARL,012089444331070,Maroc,components,05-01-2022,Backup supplier - low volume
388,legacy_manual_import,PREMIER COATINGS SARL,329449379788765,Maroc,Prime Textiels SARL,750072831530094,MA,raw_material,01-30-2025,Contact information outdated
389,portal_v2,Andean Assemblies .Sp.A.,IT38826320735,IT,Summit Trading SARL,FR44034462491,FR,components,18/09/2022,Şirket 2021'de denetlendi
390,portal_v2,Anatloian Yarns Sp. z o.o.,PL0677017673,PL,Sunrise  Weaving  A.Ş. ,9075459796,TR,component,16/06/2025,
391,legacy_manual_import,premier dyeworks a.ş.,6954004320,Türkiye,Rhine Foundry Ltd.,GB430959230,UK,packaging,02-20-2024,
392,portal_v1,"meridian foundry co., ltd.",6936664761,Vietnam,OAKRIDGE PLASTICS PVT. LTD.,94HXCVS3375A1Z5,IN,raw_material,2022-10-21,Duplicate of prior quarter submission
393,portal_v2,NorthGate Textiles SA,ES60227680G,Espagne,oakridge fasteners lda.,PT175750309,PT,materia prima,23/08/2025,
394,portal_v2,NorthGate Textiles S.A.,ES60227680G,ES,Oakridge Fasteners Lda.,,PT,dyeing,22/04/2024,Confirmación pendiente por parte del proveedor
395,portal_v2,SOUTHBAY ELECTRONICS S.A.,ES78333840D,ES,Apex  Coatings  Lda. ,,Portugal,components,06/02/2024,
396,portal_v2,global metals inc.,07-8555313,USA,Northgate Ceramics SARL,708207504345321,MA,logistics,06/08/2024,
397,portal_v2,eastfield alloys gmbh,DE413376973,Deutschland,"westport industries co., ltd.",3529838408,Vietnam,materia prima,02/05/2025,
398,portal_v2,Horizon yDeworks A.Ş.,5797626609,Turkey,"stonebridge alloys co., ltd.",1043205340,Vietnam,materia prima,22/02/2024,
399,legacy_manual_import,Horizon  Dyeworks  A.Ş. ,5797626609,Turkey,ANDEAN COMPONENTS LDA.,PT761747749,PT,component,08-06-2022,Confirmación pendiente por parte del proveedor
400,legacy_manual_import,Eastfield Components SARL,FR58653776073,France,ATLANTIC TEXTILES PVT. LTD.,,IN,RAW_MATERIAL,04-29-2023,Pending re-confirmation
401,portal_v2,Highland Components ASS,FR34285656538,France,Northgat eAssemblies Inc.,55-3358029,USA,logistics,20/09/2023,
402,portal_v1,Eastfield Alloys GmbH,DE413376973,DE,"Westport Industries Co, Ltd",3529838408,VN,subcontracted_labor,2022-07-04,
403,portal_v2,"SUMMIT MACHINERY CO., LTD.",9402555543,Vietnam,Hihgland Fibers Ltd.,GB289869081,GB,dyeing,21/03/2022,Contrato renovado según acuerdo marco
404,legacy_manual_import,Horzion Solutions Sp. z o.o.,PL4837332964,Polska,VANTAGE CHEMICALS SAS,FR60661010435,FR,subcontracted_labor,12-08-2024,
405,legacy_manual_import,Northgate Machinery Ltd,GB144982519,UK,Oakridge  Assemblies  Inc. ,,USA,Raw Material,06-04-2025,Contact information outdated
406,portal_v1,alpine coatings sarl,,Morocco,VANTAGE PACKAGING PVT. LTD.,,India,RAW_MATERIAL,2023-08-19,Fornecedor homologado em 2023
407,legacy_manual_import,global ceramics sp. z o.o.,PL5131340444,PL,danube steel a.ş.,95 76837507,Turkey,Raw Material,08-21-2025,Contrato renovado según acuerdo marco
408,legacy_manual_import,REDSTONE CHEMICALS LDA.,253396557,PT,VANTAGE INDUSTRIES GMBH,DE784402277,Germany,raw material,10-10-2023,Şirket 2021'de denetlendi
409,portal_v2,Baltic  Trading  Ltd. ,GB261367723,GB,Millbrook Machinery Lda.,,Portugal,RAW_MATERIAL,22/08/2023,
410,portal_v2,NORTHGATE TEXTILES S.A.,ES60227680G,ES,Northgate Machinery Ldt.,GB144982519,United Kingdom,components,02/03/2025,
411,portal_v1,CORNERSTONE FASTENERS S.A.,ES20546820H,ES,oakridge metals sarl,,FR,logistics,2024-05-18,Pending re-confirmation
412,portal_v2,Atlantic  Trading  B.V. ,NL274449316B37,Netherlands,Westport  Packaging  Ltd. ,GB604944530,GB,dyeing,14/05/2025,
413,portal_v2,atlantic trading b.v.,NL274449316B37,Netherlands,eastfield leather sas,FR18801882497,FR,raw material,25/06/2024,
414,portal_v2,Copperfield Group S.L.,ES02793116B,Spain,Sunrise Foundry BV,NL757190566B03,Netherlands,components,07/10/2024,Duplicate of prior quarter submission
415,portal_v2,continental fasteners sarl,524296237088409,MA,United Machinery Ltd,GB286459114,UK,subcontracted_labor,01/07/2024,
416,portal_v1,ANDEAN LEATHER PVT. LTD.,,India,Andean  Assemblies  S.p.A. ,IT38826320735,Italy,raw_material,2025-04-29,
417,portal_v2,"UNITED ASSEMBLIES CO., LTD.",6926242393,Vietnam,ANATOLIAN POLYMERS SARL,413403018954648,Morocco,packaging,19/03/2024,Backup supplier - low volume
418,portal_v2,Baltic Foundry BV..,NL127387209B07,Holland,Southbay Electronics S.A.,ES78333840D,ES,components,18/08/2025,
419,portal_v2,NorthGate Textiles S.A.,ES60227680G,Spain,Highland Plastics S.p.A.,IT24406348066,IT,Raw Material,27/04/2024,Contact information outdated
420,portal_v2,Meridian  Fasteners  Ltd. ,GB212776106,GB,Meridian Assebmlies Sp. z o.o.,PL3793702943,PL,raw_material,31/03/2024,Fornecedor homologado em 2023
421,portal_v2,Irongate  Alloys  A.Ş. ,6888337780,Turkey,crestwood group ltd.,GB59512269,UK,packaging,13/05/2023,
422,portal_v2,Summit Trading ASRL,,FR,Horizon Polymers Sp z oo,,PL,finishing,06/09/2022,Şirket 2021'de denetlendi
423,portal_v2,Bluewater Manufacturing S.r.l.,IT10862914220,Italy,"Northgate Polymers Co. ,Ltd.",0TNTW3356HT9DCDKZ7,China,finishing,08/10/2023,Duplicate of prior quarter submission
424,legacy_manual_import,Westport Electronics SARL,394225258329500,Maroc,Sunrise Leather SARL,FR17861973435,FR,component,03-06-2025,Fournisseur validé lors de l'audit 2022
425,portal_v2,Rhine Tooilng AG,DE535425961,Germany,Alpine Coatings SARL,102439281045618,MA,materia prima,12/09/2025,Société certifiée ISO 9001
426,portal_v1,SUNRISE LEATHER SARL,FR17861973435,France,Irongate  Steel  AG ,DE851882729,Germany,components,2023-08-17,
427,portal_v2,Atlantic  Trading  B.V. ,NL274449316B37,Netherlands,westport packaging ltd.,GB604944530,UK,Raw Material,11/07/2023,
428,portal_v2,NorthGate Textiles S.A.,ES60227680G,España,Golden  Tooling  Sp.  z  o.o. ,,PL,finishing,22/03/2024,"Data provided via phone, not verified"
429,portal_v2,Southbay Electronics SA,ES78333840D,Spain,APEX COATINGS LDA.,,PT,RAW_MATERIAL,21/06/2025,
430,portal_v2,NORTHGATE TEXTILES S.A.,ES60227680G,Espagne,Rhine  Tooling  AG ,DE535425961,Germany,raw_material,22/05/2023,
431,portal_v2,RoyalC oatings S.L.,,Espagne,ALPINE YARNS S.A.,ES38927331G,España,finishing,07/08/2023,
432,portal_v2,Pacific  Machinery  Lda. ,PT721441525,PT,cornerstone foundry s.r.l.,IT91202848475,IT,dyeing,27/04/2023,"Data provided via phone, not verified"
433,portal_v2,Global Electronics SA,ES50165258A,España,Silverline Componetns SAS,FR42403927449,France,raw material,02/05/2023,
434,portal_v1,Baltic Foundry B.V.,,NL,Continental Weaving BV,NL346920737B67,NL,logistics,2022-05-29,
435,portal_v2,Bluewater Manufacturing Srl,IT10862914220,Italy,"northgate polymers co., ltd.",0TNTW3356HT9DCDKZ7,China,raw_material,07/04/2023,
436,portal_v1,Oakridge Logistcis A.Ş.,796360941,TR,Apex Machinery GmbH,,DE,Raw Material,2025-07-21,
437,portal_v2,Royal Coatings S.L.,ES73413748E,España,Alpine  Yarns  S.A. ,ES38927331G,ES,raw_material,16/10/2022,
438,portal_v2,Continental Fasteners SARL,524296237088409,Maroc,"Copperfield Alloys Co., Ltd.",LQHUJWRG88MSHM9299,China,RAW_MATERIAL,30/04/2022,Contrato renovado según acuerdo marco
439,portal_v2,###,,Germany,"Royal Tradign Co., Ltd.",7398432518,VN,component,23/10/2024,Fornecedor homologado em 2023
440,portal_v1,Northgate  Machinery  Ltd. ,GB144982519,UK,Northgate  Circuits  Ltd. ,GB715429489,GB,raw material,2022-09-22,
441,portal_v2,IRONGATE ALLOYS A.Ş.,6888337780,Türkiye,Crestwood Group Ltd.,GB595122698,GB,Raw Material,12/07/2025,
442,portal_v2,Continental  Group  SARL ,575538294401555,Morocco,OAKRIDGE PACKAGING SAS,fr69577944501,France,packaging,30/12/2023,Şirket 2021'de denetlendi
443,portal_v1,"MERIDIAN FOUNDRY CO., LTD.",6936664761,VN,"SUMMIT MACHINERY CO., LTD.",9402555543,VN,dyeing,2022-01-21,
444,portal_v2,Pacific Coatings Ltd.,GB202514640,United Kingdom,iberian coatings sas,FR67464629486,France,logistics,30/12/2024,
445,portal_v1,alpine coatings sarl,2439281045618,MA,VANTAGE PACKAGING PVT. LTD.,06JURYD6700A1Z5,IN,subcontracted_labor,,Fornecedor homologado em 2023
446,legacy_manual_import,Pacific Coatings Ltd.,,UK,Iberian Cotaings SAS,FR67464629486,FR,Raw Material,10-10-2022,
447,portal_v2,Irognate Alloys A.Ş.,6888337780,Türkiye,ROYAL COATINGS S.L.,ES73413748E,ES,components,21/07/2022,Société certifiée ISO 9001
448,legacy_manual_import,Irongate Alloys AŞ,6888337780,Turkey,Crestwood Group Ltd,GB595122698,United Kingdom,finishing,02-28-2025,
449,portal_v2,southbay electronics s.a.,,Espagne,Bluewater Tooling Pvt. Ltd.,11 OPZCC7788A1Z5,India,RAW_MATERIAL,17/05/2025,
450,portal_v2,eastfield components sarl,FR58653776073,FR,"Lakeside  Electronics  Co.,  Ltd. ",YC17FKMGNQ3R7BUY9H,CN,packaging,13/05/2025,Pending re-confirmation
451,portal_v1,Royal Macihnery Inc.,22-7342425,USA,RHINE ASSEMBLIES INC.,24-7759986,United States,raw_material,2022-09-13,Pending re-confirmation
452,portal_v2,Pacific Machinery Lda.,PT721441525,Portugal,Summi tMetals GmbH,DE492238773,Germany,packaging,11/03/2024,Fournisseur validé lors de l'audit 2022
453,portal_v2,Atlantic Logistics Srl,IT04077145284,Italia,apex circuits s.p.a.,IT59296256706,Italia,packaging,29/10/2022,"Data provided via phone, not verified"
454,legacy_manual_import,REDSTONE CHEMICALS LDA.,PT 253396557,Portugal,Horizon  Alloys  SARL ,381866192115924,MA,Raw Material,04-16-2024,
455,portal_v1,Lakeside Indsutries Lda.,PT868765643,PT,BLUEWATER TRADING INC.,,United States,RAW_MATERIAL,2022-09-01,
456,portal_v2,Summit Metals Lda,PT182309739,PT,IBERIAN ELECTRONICS SARL,706239917751423,Morocco,logistics,13/09/2022,
457,portal_v2,HORIZON SOLUTIONS SP. Z O.O.,PL4837-332964,PL,Vantage Chemicals SAS,FR60661010435,FR,logistics,20/07/2024,
458,portal_v1,Premier Coatings .AŞ.,4752892539,Türkiye,SOUTHBAY CIRCUITS LTD.,GB188850611,United Kingdom,RAW_MATERIAL,2022-03-04,Fournisseur validé lors de l'audit 2022
459,portal_v2,Danube Plastics Ltd,,UK,Baltic Manufacturing SARL,0394595620354,MA,components,11/04/2022,
460,portal_v2,andean assemblies s.p.a.,IT38826320735,Italia,Pacific Machinery Lda,,PT,materia prima,26/05/2023,
461,legacy_manual_import,Global Electronics S.A.,ES50165258A,Espagne,"REDSTONE PLASTICS CO., LTD.",2955705581,VN,logistics,,Şirket 2021'de denetlendi
462,portal_v2,Continental Fastenesr SARL,524296237088409,Maroc,"Highland oToling Co., Ltd.",G9GDNTQUXZJWLN2EV6,China,raw material,08/08/2022,
463,legacy_manual_import,Westport  Electronics  SARL ,394225258329500,Morocco,Copperfield Fasteners GmbH,,Deutschland,logistics,11-20-2023,Şirket 2021'de denetlendi
464,portal_v2,Continental Fasteners SARL,524296237088409,Morocco,Adnean Plastics S.r.l.,IT09674857331,Italia,Raw Material,08/08/2023,
465,portal_v2,Atlantic Trading B.V.,NL 274449316B37,Netherlands,EastfieldL eather SAS,FR18801882497,FR,finishing,17/12/2022,
466,portal_v1,Gloabl Ceramics Sp. z o.o.,PL5131340444,Poland,NORDIC CERAMICS S.L.,,ES,packaging,2024-07-05,Pending re-confirmation
467,legacy_manual_import,HORIZON MANUFACTURING AG,DE431839337,Germany,Royal  Dyeworks  Inc. ,23-5650998,United States,dyeing,10-13-2024,
468,portal_v1,Apex  Industries  A.Ş. ,6656315572,Türkiye,Atlantic Fasteners Pvt. Ltd.,66ARKJO4166A1Z5,India,materia prima,2024-02-02,
469,portal_v1,Continental Fasteners SARL,52429623708409,MA,"CopperfieldA lloys Co., Ltd.",LQHUJWRG88MSHM9299,China,packaging,2023-03-02,Fornecedor homologado em 2023
470,portal_v2,Danube Plastics Ltd,,UK,Baltic Manufacturing SARL,0394595620354,MA,components,11/04/2022,
471,portal_v2,Vantage Allosy SARL,,Morocco,PREMIER SOLUTIONS LDA.,PT712-236852,Portugal,components,03/07/2024,
472,legacy_manual_import,"Andean  Leather  Co.,  Ltd. ",,CN,Horizon Steel Lda.,,Portugal,finishing,03-20-2022,
473,portal_v2,nordic materials gmbh,DE502141043,Germany,"Atlantic Steel Co., Ltd.",6809149499,VN,raw_material,08/05/2025,
474,legacy_manual_import,"Andean Leather Co, Ltd",DNCWF820JL0Q221BH9,CN,lakeside materials inc.,70 -5466589,USA,component,03-28-2024,
475,portal_v1,REDSTONE CHEMICALS LDA.,PT253396557,Portugal,Horizon Alloys SARL,381866192115924,Maroc,packaging,2023-07-14,Duplicate of prior quarter submission
476,legacy_manual_import,Andean Letaher Pvt. Ltd.,02 HCGCH6332A1Z5,IN,baltic chemicals b.v.,NL 192147365B35,Holland,raw material,10-15-2024,Duplicate of prior quarter submission
477,portal_v2,Danube Components Sp z oo,pl8781446242,Polska,Stonebridge Tooling SARL,25 1361799399069,Morocco,packaging,28/08/2023,Duplicate of prior quarter submission
478,portal_v1,"PRIME ELECTRONICS CO., LTD.",VE8QMU72MHTLP9NJ96,CN,Alpine Fibers GmbH,DE662610051,DE,Raw Material,2023-08-14,
479,legacy_manual_import,Golden Tooling Sp. z o.o.,PL2144229485,Polska,oakridge logistics a.ş.,,TR,raw_material,09-24-2025,
480,portal_v2,PACIFIC METALS INC.,11-7347262,United States,Meridian Industries SAS,FR10596861958,France,components,02/01/2024,Contrato renovado según acuerdo marco
481,portal_v2,Andean  Assemblies  S.p.A. ,,Italy,Baltic  Metals  SARL ,,MA,logistics,15/02/2024,
482,portal_v2,summit tooling s.l.,ES17820269F,Espagne,irongate circuits b.v.,NL410656411B65,NL,Raw Material,,
483,portal_v2,"Prime Electronics Co., Ltd.",VE8QMU72MHTLP9NJ96,China,ALPINE FIBERS GMBH,DE662610051,Germany,components,11/12/2023,
484,portal_v1,REDSTONE CHEMICALS LDA.,PT253396557,PT,Vantage Industries mGbH,DE784402277,Germany,raw material,2022-02-10,Duplicate of prior quarter submission
485,portal_v2,OAKRIDGE LOGISTICS A.Ş.,7963609841,TR,apex machinery gmbh,DE660561327,DE,raw_material,30/01/2023,
486,legacy_manual_import,Copperfield Dyeworks Pvt Ltd,56IJOUL3230A1Z5,IN,Alpine Materials Ltd,,United Kingdom,packaging,03-27-2024,Contrato renovado según acuerdo marco
487,portal_v2,Redstone  Chemicals  Lda. ,PT253396557,PT,Highland  Components  SAS ,FR34285656538,FR,packaging,18/01/2024,
488,legacy_manual_import,Rhine Packaging Lda.,PT928840726,Portugal,summit materials inc.,91-9170792,United States,raw_material,,
489,portal_v2,Sunrise  Leather  SARL ,fr17861973435,France,Millbrook Solutions dLa.,PT399423598,PT,packaging,11/02/2023,
490,portal_v2,"Meirdian Foundry Co., Ltd.",6936664761,Vietnam,Highland  Steel  Sp.  z  o.o. ,PL 7859126165,Polska,components,,
491,portal_v2,apex industries a.ş.,6656315572,Türkiye,atlantic fasteners pvt. ltd.,66ARKJO4166A1Z5,India,raw_material,02/04/2022,Pending re-confirmation
492,portal_v2,"United  Assemblies  Co.,  Ltd. ",6926242393,Vietnam,Riverside hCemicals SAS,fr78380759187,FR,finishing,25/06/2025,
493,portal_v1,Summit Tooilng S.L.,,España,Irongate Circutis B.V.,NL410656411B65,Holland,component,2023-08-04,
494,portal_v2,meridian fasteners ltd.,GB212776106,GB,nordic fibers sas,FR32114540305,FR,dyeing,27/09/2025,
495,portal_v2,Redstone Chemiacls Lda.,PT253396557,Portugal,Vantage  Industries  GmbH ,DE784402277,Germany,raw material,18/07/2022,
496,portal_v2,Danube Components Sp. z .oo.,PL8781446242,Polska,silverline leather s.r.l.,IT37704414833,Italia,materia prima,,
497,legacy_manual_import,HIGHLAND PLASTICS S.P.A.,IT24406348066,Italia,"United Assemblies Co. ,Ltd.",6926242393,Vietnam,finishing,12-26-2022,Contact information outdated
498,portal_v2,continental fasteners sarl,524296237088409,Morocco,"Copperfield Alloys Co, Ltd",LQHUJWRG88MSHM9299,CN,RAW_MATERIAL,12/06/2024,Société certifiée ISO 9001
499,portal_v2,PREMIER DYEWORKS A.Ş.,6954004320,Türkiye,Rhine Foundry Ltd,GB430959230,UK,raw_material,14/06/2025,
500,portal_v1,Vantage Alloys SARL,193008687593586,Morocco,Vantage  Assemblies  SAS ,FR03191475196,FR,subcontracted_labor,2024-08-14,
501,portal_v2,Rhine  Tooling  AG ,DE535425961,Deutschland,Highland  Machinery  SARL ,,Maroc,RAW_MATERIAL,20/02/2024,
502,portal_v2,redstone chemicals lda.,PT253-396557,PT,Highland Components SAS,FR34285656538,France,components,08/02/2023,
503,legacy_manual_import,andean plastics s.r.l.,IT09674857331,Italy,Copperfield  Weaving  Pvt.  Ltd. ,,IN,raw_material,08-14-2022,Şirket 2021'de denetlendi
504,portal_v2,PACIFIC METALS INC.,,USA,"Premier Metals Co.,L td.",,CN,raw_material,19/08/2024,
505,portal_v2,MERIDIAN FASTENERS LTD.,GB212776106,GB,EASTFIELD COMPONENTS SARL,,FR,dyeing,,Pending re-confirmation
506,portal_v1,Global Ceramics Sp. z o.o.,PL5131340444,PL,Horizon Components Lda,PT115345152,PT,finishing,2022-12-19,
507,portal_v2,OAKRIDGE FASTENERS LDA.,PT175750309,Portugal,horizon solutions lda.,PT196215509,Portugal,materia prima,06/04/2025,Société certifiée ISO 9001
508,portal_v2,Silverline Leather SL,ES95639376A,España,Northgate Polymers S.r.l.,IT79593991237,Italia,packaging,28/02/2023,
509,legacy_manual_import,Iberian Machinery Ltd,,UK,danube components sp. z o.o.,PL8781446242,PL,finishing,06-20-2022,Fornecedor homologado em 2023
510,portal_v2,premier dyeworks a.ş.,6954004320,Türkiye,Rhine Fonudry Ltd.,GB430959230,GB,component,21/07/2023,Pending re-confirmation
511,portal_v2,crestwood coatings lda.,PT869464903,PT,Southbay  Leather  B.V. ,NL63879-7541B81,Holland,raw_material,03/05/2022,Pending re-confirmation
512,portal_v2,Southbay Leather BV,NL638797541B81,Holland,"irongate ceramics co., ltd.",2309407591,VN,RAW_MATERIAL,28/12/2024,Pending re-confirmation
513,portal_v2,Pacific Machinery Lda,PT721441525,Portugal,cornerstone foundry s.r.l.,IT91202848475,IT,packaging,28/04/2024,
514,legacy_manual_import,Premier Coatings AŞ,,Türkiye,Summit  Tooling  S.L. ,ES17820269F,España,components,01-29-2022,
515,legacy_manual_import,"Highland  Tooling  Co.,  Ltd. ",G9GDNTQUXZJWLN2EV6,China,Golden  Chemicals  SAS ,fr27698351396,France,raw_material,01-13-2024,
