row_id,source_system,customer_entity_id,customer_canonical_name,customer_core_name,customer_suffix,customer_tax_id,customer_country,supplier_entity_id,supplier_canonical_name,supplier_core_name,supplier_suffix,supplier_tax_id,supplier_country,relationship_type_norm,last_updated_iso,notes
365,portal_v1,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E318,Nordic Fibers SAS,nordic fibers sas,,FR32114540305,FR,logistics,2025-09-23,Contact information outdated
366,legacy_manual_import,E456,=SUM(A1:A2),sum a1 a2,,,PL,E202,GOLDEN STEEL SARL,golden steel,sarl,012089444331070,MA,components,2022-01-05,Backup supplier - low volume
367,portal_v1,E374,PREMIER COATINGS A.Ş.,premier coatings,a s,4752892539,TR,E221,highland weaving a.ş.,highland weaving,a s,8152837670,TR,raw_material,2023-03-15,Société certifiée ISO 9001
368,portal_v2,E231,Horizon Manufactuirng AG,horizon manufacturing,ag,DE431839337,,E492,UNITED FOUNDRY LDA.,united foundry lda,,PT323269615,PT,dyeing,2025-03-12,
369,portal_v1,E325,Northgate Circuits Ltd.,northgate circuits,ltd,GB715429489,,E261,Iberian Plastics SL,iberian plastics,sl,ES85181933E,ES,materia_prima,2025-04-22,Fornecedor homologado em 2023
370,portal_v2,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E497,United Machinery tLd.,united machinery tld,,GB286459114,GB,raw_material,2022-03-24,Pending re-confirmation
371,legacy_manual_import,E127,Copperfield Metals A.Ş.,copperfield metals,a s,9918536797,TR,E031,Anatolian Materials A.Ş.,anatolian materials,a s,2337786746,TR,raw_material,2022-02-01,
372,legacy_manual_import,E068,Atlantic Logistics S.r.l.,atlantic logistics s r l,,IT04077145284,,E446,Southbay Logistics S.r.l.,southbay logistics s r l,,IT40684690723,IT,dyeing,2025-05-16,
373,portal_v2,E527,Westport Trading A.Ş.,westport trading,a s,9238434939,TR,E222,"Hoirzon Weaving Co., Ltd.",hoirzon weaving,co ltd,2K2JHK5BH36K3HTFHF,CN,components,2025-02-11,segÃºn acuerdo
374,portal_v1,E045,andean leather pvt. ltd.,andean letaher,pvt ltd,02HCGCH6332A1Z5,IN,E513,Vantage Textiles S.A.,vantage textiles,s a,ES30633873E,,raw_material,2022-03-24,Confirmación pendiente por parte del proveedor
375,legacy_manual_import,E337,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,ES,E501,VANTAGE ALLOYS SARL,vantage alloys,sarl,193008687593586,MA,component,2022-08-12,Pending re-confirmation
376,portal_v2,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E463,"Summit Machinery Co., Ltd.",summit machinery,co ltd,,VN,packaging,2022-06-21,
377,portal_v2,E267,Irongate Alloys A.Ş.,irongate alloys,a s,6888337780,TR,E412,Royal Coatings S.L.,royal coatings,s l,ES73413748E,ES,component,2022-03-05,Contrato renovado según acuerdo marco
378,portal_v2,E424,SILVERLINE LEATHER S.L.,silverline leather,sl,,ES,E081,BALTIC LEATHER PVT. LTD.,baltic leather,pvt ltd,95OEZWM3402A1Z5,IN,dyeing,2022-01-29,Şirket 2021'de denetlendi
379,portal_v2,E421,Silverline Chemicals SAS,silverline chemicals sas,,FR67254489366,FR,E385,Prime Polymers S.L.,prime polymers,s l,ES49180374G,ES,components,2022-07-24,Fournisseur validé lors de l'audit 2022
380,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,E186,Global Circuits GmbH,global circuits,gmbh,720227574,,logistics,2023-10-03,Fournisseur validé lors de l'audit 2022
381,portal_v1,E527,Westport Trading A.Ş.,westport trading,a s,9238434939,TR,E157,"Crestwood Yarns Co., Ltd.",crestwood yarns,co ltd,QDTRK1B2ZX2X1DSSZM,CN,raw_material,2023-05-13,
382,legacy_manual_import,E204,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,PL2144229485,PL,E183,Global Alloys SARL,global alloys,sarl,FR02653954607,FR,raw_material,2023-04-02,Fornecedor homologado em 2023
383,portal_v2,E213,Highland Plastics S.p.A.,highland plastics s p a,,IT24406348066,IT,E067,atlantic industries b.v.,atlantic industries b v,,NL118466507B21,,raw_material,,
384,portal_v1,E421,Silverline Chemicals SAS,silverline chemicals sas,,FR67254489366,FR,E386,Prime Polymers S.L.,prime polymers,s l,,,component,2025-03-01,Backup supplier - low volume
385,portal_v1,E344,Oakridge Fasteners Lda.,oakridge fsateners lda,,,PT,E022,Alpine Tradin gSARL,alpine tradin gsarl,,274958225941535,MA,raw_material,2025-03-19,Contrato renovado según acuerdo marco
386,portal_v2,E206,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,PL2144229485,,E279,LAKESIDE ELECTRONICS SARL,lakeside electronics,sarl,FR82775299571,FR,dyeing,2024-02-04,
387,legacy_manual_import,E456,=SUM(A1:A2),sum a1 a2,,,PL,E202,GOLDEN STEEL SARL,golden steel,sarl,012089444331070,MA,components,2022-01-05,Backup supplier - low volume
388,legacy_manual_import,E375,Premier Coatings SARL,premier coatings,sarl,329449379788765,MA,E388,prime textiles sarl,prime textiels,sarl,750072831530094,MA,raw_material,2025-01-30,Contact information outdated
389,portal_v2,E039,Andean Assemblies .Sp.A.,andean assemblies sp a,,IT38826320735,IT,E473,Summit Trading SARL,summit trading,sarl,FR44034462491,FR,components,2022-09-18,Şirket 2021'de denetlendi
390,portal_v2,E036,Anatolian Yarns Sp. z o.o.,anatloian yarns,sp z o o,PL0677017673,PL,E480,Sunrise Weaving A.Ş.,sunrise weaving,a s,9075459796,TR,component,2025-06-16,
391,legacy_manual_import,E376,Premier Dyeworks A.Ş.,premier dyeworks,a s,6954004320,TR,E401,Rhine Foundry Ltd.,rhine foundry,ltd,GB430959230,,packaging,2024-02-20,
392,portal_v1,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,raw_material,2022-10-21,Duplicate of prior quarter submission
393,portal_v2,E336,NorthGate Textiles S.A.,northgate textiles,sa,ES60227680G,,E344,Oakridge Fasteners Lda.,oakridge fasteners lda,,PT175750309,PT,materia_prima,2025-08-23,
394,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,ES,E344,Oakridge Fasteners Lda.,oakridge fasteners lda,,,PT,dyeing,2024-04-22,Confirmación pendiente por parte del proveedor
395,portal_v2,E440,southbay electronics s.a.,southbay electronics,s a,ES78333840D,ES,E059,Apex Coatings Lda,apex coatings lda,,,PT,components,2024-02-06,
396,portal_v2,E194,Global Metals Inc.,global metals,inc,078555313,US,E323,Northgate Ceramics SARL,northgate ceramics,sarl,708207504345321,MA,logistics,2024-08-06,
397,portal_v2,E171,eastfield alloys gmbh,eastfield alloys,gmbh,DE413376973,,E518,"westport industries co., ltd.",westport industries,co ltd,3529838408,VN,materia_prima,2025-05-02,
398,portal_v2,E244,Horizon yDeworks A.Ş.,horizon ydeworks,a s,5797626609,TR,E450,"Stonebridge Alloys Co, Ltd",stonebridge alloys,co ltd,1043205340,VN,materia_prima,2024-02-22,
399,legacy_manual_import,E227,Horizon Dyeworks AŞ,horizon dyeworks,a s,5797626609,TR,E043,Andean Components Lda.,andean components lda,,PT761747749,PT,component,2022-06-08,Confirmación pendiente por parte del proveedor
400,legacy_manual_import,E174,Eastfield Components SARL,eastfield components,sarl,FR58653776073,FR,E073,Atlantic Textiles Pvt. Ltd.,atlantic textiles,pvt ltd,,IN,raw_material,2023-04-29,Pending re-confirmation
401,portal_v2,E207,Highland Components SAS,highland components ass,,FR34285656538,FR,E322,Northgat eAssemblies Inc.,northgat eassemblies,inc,553358029,US,logistics,2023-09-20,
402,portal_v1,E172,Eastfield Alloys GmbH,eastfield alloys,gmbh,DE413376973,DE,E518,"westport industries co., ltd.",westport industries,co ltd,3529838408,VN,subcontracted_labor,2022-07-04,
403,portal_v2,E463,"Summit Machinery Co., Ltd.",summit machinery,co ltd,9402555543,VN,E208,Hihgland Fibers Ltd.,hihgland fibers,ltd,GB289869081,GB,dyeing,2022-03-21,Contrato renovado según acuerdo marco
404,legacy_manual_import,E238,Horizon Solutions Sp z oo,horzion solutions,sp z o o,PL4837332964,,E506,Vantage Chemicals SAS,vantage chemicals sas,,FR60661010435,FR,subcontracted_labor,2024-08-12,
405,legacy_manual_import,E327,Northgate Machinery Ltd.,northgate machinery,ltd,GB144982519,,E343,OAKRIDGE ASSEMBLIES INC.,oakridge assemblies,inc,,US,raw_material,2025-04-06,Contact information outdated
406,portal_v1,E016,Alpine Coatings SARL,alpine coatings,sarl,,MA,E512,VANTAGE PACKAGING PVT. LTD.,vantage packaging,pvt ltd,,IN,raw_material,2023-08-19,Fornecedor homologado em 2023
407,legacy_manual_import,E182,Global Ceramics Sp. z o.o.,global ceramics,sp z o o,PL5131340444,PL,E168,Danube Steel A.Ş.,danube steel,a s,9576837507,TR,raw_material,2025-08-21,Contrato renovado según acuerdo marco
408,legacy_manual_import,E390,Redstone Chemicals Lda.,redstone chemicals lda,,253396557,PT,E510,VANTAGE INDUSTRIES GMBH,vantage industries,gmbh,DE784402277,DE,raw_material,2023-10-10,Şirket 2021'de denetlendi
409,portal_v2,E086,Baltic Trading Ltd.,baltic trading,ltd,GB261367723,GB,E308,Millbrook Machinery Lda.,millbrook machinery lda,,,PT,raw_material,2023-08-22,
410,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,ES,E328,Northgate Machinery Ldt.,northgate machinery ldt,,GB144982519,GB,components,2025-03-02,
411,portal_v1,E139,CORNERSTONE FASTENERS S.A.,cornerstone fasteners,s a,ES20546820H,ES,E351,Oakridge Metals SARL,oakridge metals,sarl,,FR,logistics,2024-05-18,Pending re-confirmation
412,portal_v2,E075,Atlantic Trading B.V.,atlantic trading b v,,NL274449316B37,NL,E525,Westport Packaging Ltd.,westport packaging,ltd,GB604944530,GB,dyeing,2025-05-14,
413,portal_v2,E075,Atlantic Trading B.V.,atlantic trading b v,,NL274449316B37,NL,E180,EastfieldL eather SAS,eastfield leather sas,,FR18801882497,FR,raw_material,2024-06-25,
414,portal_v2,E124,Copperfield Group S.L.,copperfield group,s l,ES02793116B,ES,E476,Sunrise Foundry BV,sunrise foundry,bv,NL757190566B03,NL,components,2024-10-07,Duplicate of prior quarter submission
415,portal_v2,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E496,United Machinery Ltd.,united machinery,ltd,GB286459114,,subcontracted_labor,2024-07-01,
416,portal_v1,E045,andean leather pvt. ltd.,andean leather,pvt ltd,,IN,E039,Andean Assemblies .Sp.A.,andean assemblies s p a,,IT38826320735,IT,raw_material,2025-04-29,
417,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,E034,ANATOLIAN POLYMERS SARL,anatolian polymers,sarl,413403018954648,MA,packaging,2024-03-19,Backup supplier - low volume
418,portal_v2,E079,baltic foundry b.v.,baltic foundry,bv,NL127387209B07,,E440,southbay electronics s.a.,southbay electronics,s a,ES78333840D,ES,components,2025-08-18,
419,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,ES,E213,Highland Plastics S.p.A.,highland plastics s p a,,IT24406348066,IT,raw_material,2024-04-27,Contact information outdated
420,portal_v2,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E289,Meridian Assebmlies Sp. z o.o.,meridian assebmlies,sp z o o,PL3793702943,PL,raw_material,2024-03-31,Fornecedor homologado em 2023
421,portal_v2,E267,Irongate Alloys A.Ş.,irongate alloys,a s,6888337780,TR,E154,crestwood group ltd.,crestwood group,ltd,GB59512269,,packaging,2023-05-13,
422,portal_v2,E473,Summit Trading SARL,summit trading asrl,,,FR,E236,Horizon Polymers Sp. z o.o.,horizon polymers,sp z oo,,PL,finishing,2022-09-06,Şirket 2021'de denetlendi
423,portal_v2,E093,Bluewater Manufacturing S.r.l.,bluewater manufacturing s r l,,IT10862914220,IT,E329,"Northgate Polymers Co. ,Ltd.",northgate polymers,co ltd,0TNTW3356HT9DCDKZ7,CN,finishing,2023-10-08,Duplicate of prior quarter submission
424,legacy_manual_import,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E478,Sunrise Leather SARL,sunrise leather,sarl,FR17861973435,FR,component,2025-06-03,Fournisseur validé lors de l'audit 2022
425,portal_v2,E404,Rhine Tooling AG,rhine tooilng,ag,DE535425961,DE,E016,Alpine Coatings SARL,alpine coatings,sarl,102439281045618,MA,materia_prima,2025-09-12,Société certifiée ISO 9001
426,portal_v1,E478,Sunrise Leather SARL,sunrise leather,sarl,FR17861973435,FR,E277,Irongate Steel AG,irongate steel,ag,DE851882729,DE,components,2023-08-17,
427,portal_v2,E075,Atlantic Trading B.V.,atlantic trading b v,,NL274449316B37,NL,E526,westport packaging ltd.,westport packaging,ltd,GB604944530,,raw_material,2023-07-11,
428,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,ES,E204,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,,PL,finishing,2024-03-22,"Data provided via phone, not verified"
429,portal_v2,E440,southbay electronics s.a.,southbay electronics,sa,ES78333840D,ES,E059,Apex Coatings Lda,apex coatings lda,,,PT,raw_material,2025-06-21,
430,portal_v2,E336,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,,E404,Rhine Tooling AG,rhine tooling,ag,DE535425961,DE,raw_material,2023-05-22,
431,portal_v2,E419,RoyalC oatings S.L.,royalc oatings,s l,,,E025,ALPINE YARNS S.A.,alpine yarns,s a,ES38927331G,ES,finishing,2023-08-07,
432,portal_v2,E368,pacific machinery lda.,pacific machinery lda,,PT721441525,PT,E142,cornerstone foundry s.r.l.,cornerstone foundry s r l,,IT91202848475,IT,dyeing,2023-04-27,"Data provided via phone, not verified"
433,portal_v2,E189,Global Electronics S.A.,global electronics,sa,ES50165258A,ES,E422,Silverline Componetns SAS,silverline componetns sas,,FR42403927449,FR,raw_material,2023-05-02,
434,portal_v1,E080,Baltic Foundry B.V.,baltic foundry b v,,,NL,E111,Continental Weaving B.V.,continental weaving,bv,NL346920737B67,NL,logistics,2022-05-29,
435,portal_v2,E093,Bluewater Manufacturing S.r.l.,bluewater manufacturing srl,,IT10862914220,IT,E329,"Northgate Polymers Co. ,Ltd.",northgate polymers,co ltd,0TNTW3356HT9DCDKZ7,CN,raw_material,2023-04-07,
436,portal_v1,E349,Oakridge Logistcis A.Ş.,oakridge logistcis,a s,796360941,TR,E062,apex machinery gmbh,apex machinery,gmbh,,DE,raw_material,2025-07-21,
437,portal_v2,E412,Royal Coatings S.L.,royal coatings,s l,ES73413748E,ES,E025,ALPINE YARNS S.A.,alpine yarns,s a,ES38927331G,ES,raw_material,2022-10-16,
438,portal_v2,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E116,"Copperfield Alloys Co., Ltd.",copperfield alloys,co ltd,LQHUJWRG88MSHM9299,CN,raw_material,2022-04-30,Contrato renovado según acuerdo marco
439,portal_v2,E003,###,,,,DE,E418,"Royal Trading Co., Ltd.",royal tradign,co ltd,7398432518,VN,component,2024-10-23,Fornecedor homologado em 2023
440,portal_v1,E327,Northgate Machinery Ltd.,northgate machinery,ltd,GB144982519,,E324,Northgate Circuits Ltd.,northgate circuits,ltd,GB715429489,GB,raw_material,2022-09-22,
441,portal_v2,E267,Irongate Alloys A.Ş.,irongate alloys,a s,6888337780,TR,E155,Crestwood Group Ltd.,crestwood group,ltd,GB595122698,GB,raw_material,2025-07-12,
442,portal_v2,E105,continental group sarl,continental group,sarl,575538294401555,MA,E352,OAKRIDGE PACKAGING SAS,oakridge packaging sas,,FR69577944501,FR,packaging,2023-12-30,Şirket 2021'de denetlendi
443,portal_v1,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E463,"Summit Machinery Co., Ltd.",summit machinery,co ltd,9402555543,VN,dyeing,2022-01-21,
444,portal_v2,E361,Pacific Coatings Ltd,pacific coatings,ltd,GB202514640,GB,E246,Iberian Coatings SAS,iberian coatings sas,,FR67464629486,FR,logistics,2024-12-30,
445,portal_v1,E016,Alpine Coatings SARL,alpine coatings,sarl,2439281045618,MA,E512,VANTAGE PACKAGING PVT. LTD.,vantage packaging,pvt ltd,06JURYD6700A1Z5,IN,subcontracted_labor,,Fornecedor homologado em 2023
446,legacy_manual_import,E363,Pacific Coatings Ltd.,pacific coatings,ltd,,,E246,Iberian Coatings SAS,iberian cotaings sas,,FR67464629486,FR,raw_material,2022-10-10,
447,portal_v2,E267,Irongate Alloys A.Ş.,irognate alloys,a s,6888337780,TR,E412,Royal Coatings S.L.,royal coatings,s l,ES73413748E,ES,components,2022-07-21,Société certifiée ISO 9001
448,legacy_manual_import,E267,Irongate Alloys A.Ş.,irongate alloys,as,6888337780,TR,E155,Crestwood Group Ltd.,crestwood group,ltd,GB595122698,GB,finishing,2025-02-28,
449,portal_v2,E441,southbay electronics s.a.,southbay electronics,s a,,,E098,Bluewater Tooling Pvt. Ltd.,bluewater tooling,pvt ltd,11OPZCC7788A1Z5,IN,raw_material,2025-05-17,
450,portal_v2,E174,Eastfield Components SARL,eastfield components,sarl,FR58653776073,FR,E280,"Lakeside Electronics Co., Ltd.",lakeside electronics,co ltd,YC17FKMGNQ3R7BUY9H,CN,packaging,2025-05-13,Pending re-confirmation
451,portal_v1,E416,Royal Machinery Inc.,royal macihnery,inc,227342425,US,E399,RHINE ASSEMBLIES INC.,rhine assemblies,inc,247759986,US,raw_material,2022-09-13,Pending re-confirmation
452,portal_v2,E368,pacific machinery lda.,pacific machinery lda,,PT721441525,PT,E457,Summi tMetals GmbH,summi tmetals,gmbh,DE492238773,DE,packaging,2024-03-11,Fournisseur validé lors de l'audit 2022
453,portal_v2,E070,Atlantic Logistics Srl,atlantic logistics srl,,IT04077145284,,E056,apex circuits s.p.a.,apex circuits s p a,,IT59296256706,,packaging,2022-10-29,"Data provided via phone, not verified"
454,legacy_manual_import,E390,Redstone Chemicals Lda.,redstone chemicals lda,,PT253396557,PT,E224,Horizon Alloys SARL,horizon alloys,sarl,381866192115924,MA,raw_material,2024-04-16,
455,portal_v1,E282,LAKESIDE INDUSTRIES LDA.,lakeside indsutries lda,,PT868765643,PT,E099,bluewater trading inc.,bluewater trading,inc,,US,raw_material,2022-09-01,
456,portal_v2,E469,Summit Metals Lda,summit metals lda,,PT182309739,PT,E248,Iberian Electronics SARL,iberian electronics,sarl,706239917751423,MA,logistics,2022-09-13,
457,portal_v2,E239,HORIZON SOLUTIONS SP. Z O.O.,horizon solutions,sp z o o,PL4837332964,PL,E506,Vantage Chemicals SAS,vantage chemicals sas,,FR60661010435,FR,logistics,2024-07-20,
458,portal_v1,E374,PREMIER COATINGS A.Ş.,premier coatings,as,4752892539,TR,E436,SOUTHBAY CIRCUITS LTD.,southbay circuits,ltd,GB188850611,GB,raw_material,2022-03-04,Fournisseur validé lors de l'audit 2022
459,portal_v2,E166,Danube Plastics Ltd,danube plastics,ltd,,,E082,Baltic Manufacturing SARL,baltic manufacturing,sarl,0394595620354,MA,components,2022-04-11,
460,portal_v2,E038,Andean Assemblies S.p.A.,andean assemblies s p a,,IT38826320735,,E368,pacific machinery lda.,pacific machinery lda,,,PT,materia_prima,2023-05-26,
461,legacy_manual_import,E190,Global Electronics S.A.,global electronics,s a,ES50165258A,,E397,"REDSTONE PLASTICS CO., LTD.",redstone plastics,co ltd,2955705581,VN,logistics,,Şirket 2021'de denetlendi
462,portal_v2,E104,Continental Fasteners SARL,continental fastenesr,sarl,524296237088409,MA,E220,"Highland oToling Co., Ltd.",highland otoling,co ltd,G9GDNTQUXZJWLN2EV6,CN,raw_material,2022-08-08,
463,legacy_manual_import,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E120,Copperfield Fasteners GmbH,copperfield fasteners,gmbh,,,logistics,2023-11-20,Şirket 2021'de denetlendi
464,portal_v2,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E010,Adnean Plastics S.r.l.,adnean plastics s r l,,IT09674857331,,raw_material,2023-08-08,
465,portal_v2,E075,Atlantic Trading B.V.,atlantic trading b v,,NL274449316B37,NL,E180,EastfieldL eather SAS,eastfieldl eather sas,,FR18801882497,FR,finishing,2022-12-17,
466,portal_v1,E182,Global Ceramics Sp. z o.o.,gloabl ceramics,sp z o o,PL5131340444,PL,E316,Nordic Ceramics S.L.,nordic ceramics,s l,,ES,packaging,2024-07-05,Pending re-confirmation
467,legacy_manual_import,E232,Horizon Manufacturing AG,horizon manufacturing,ag,DE431839337,DE,E413,Royal Dyeworks Inc.,royal dyeworks,inc,235650998,US,dyeing,2024-10-13,
468,portal_v1,E061,Apex Industries A.Ş.,apex industries,a s,6656315572,TR,E065,Atlantic Fasteners Pvt. Ltd.,atlantic fasteners,pvt ltd,66ARKJO4166A1Z5,IN,materia_prima,2024-02-02,
469,portal_v1,E104,Continental Fasteners SARL,continental fasteners,sarl,52429623708409,MA,E132,"CopperfieldA lloys Co., Ltd.",copperfielda lloys,co ltd,LQHUJWRG88MSHM9299,CN,packaging,2023-03-02,Fornecedor homologado em 2023
470,portal_v2,E166,Danube Plastics Ltd,danube plastics,ltd,,,E082,Baltic Manufacturing SARL,baltic manufacturing,sarl,0394595620354,MA,components,2022-04-11,
471,portal_v2,E501,VANTAGE ALLOYS SARL,vantage allosy,sarl,,MA,E389,premier solutions lda.,premier solutions lda,,PT712236852,PT,components,2024-07-03,
472,legacy_manual_import,E046,"Andean Leather Co., Ltd.",andean leather,co ltd,,CN,E243,Horizon Steel Lda.,horizon steel lda,,,PT,finishing,2022-03-20,
473,portal_v2,E319,Nordic Materials GmbH,nordic materials,gmbh,DE502141043,DE,E072,"Atlantic Steel Co., Ldt.",atlantic steel,co ltd,6809149499,VN,raw_material,2025-05-08,
474,legacy_manual_import,E046,"Andean Leather Co., Ltd.",andean leather,co ltd,DNCWF820JL0Q221BH9,CN,E283,lakeside materials inc.,lakeside materials,inc,705466589,US,component,2024-03-28,
475,portal_v1,E390,Redstone Chemicals Lda.,redstone chemicals lda,,PT253396557,PT,E224,Horizon Alloys SARL,horizon alloys,sarl,381866192115924,MA,packaging,2023-07-14,Duplicate of prior quarter submission
476,legacy_manual_import,E045,andean leather pvt. ltd.,andean letaher,pvt ltd,02HCGCH6332A1Z5,IN,E077,baltic chemicals b.v.,baltic chemicals b v,,NL192147365B35,,raw_material,2024-10-15,Duplicate of prior quarter submission
477,portal_v2,E162,Danube Components Sp. z o.o.,danube components,sp z oo,PL8781446242,,E454,Stonebridge Tooling SARL,stonebridge tooling,sarl,251361799399069,MA,packaging,2023-08-28,Duplicate of prior quarter submission
478,portal_v1,E381,"Prime Electronics Co, Ltd",prime electronics,co ltd,VE8QMU72MHTLP9NJ96,CN,E017,Alpine Fibers GmbH,alpine fibers,gmbh,DE662610051,DE,raw_material,2023-08-14,
479,legacy_manual_import,E206,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,PL2144229485,,E350,Oakridge Logistics A.Ş.,oakridge logistics,a s,,TR,raw_material,2025-09-24,
480,portal_v2,E369,Pacific Metals Inc.,pacific metals,inc,117347262,US,E298,Meridian Industries SAS,meridian industries sas,,FR10596861958,FR,components,2024-01-02,Contrato renovado según acuerdo marco
481,portal_v2,E039,Andean Assemblies .Sp.A.,andean assemblies s p a,,,IT,E083,BALTIC METALS SARL,baltic metals,sarl,,MA,logistics,2024-02-15,
482,portal_v2,E471,summit tooling s.l.,summit tooling,s l,ES17820269F,,E270,irongate circuits b.v.,irongate circuits b v,,NL410656411B65,NL,raw_material,,
483,portal_v2,E381,"Prime Electronics Co, Ltd",prime electronics,co ltd,VE8QMU72MHTLP9NJ96,CN,E017,Alpine Fibers GmbH,alpine fibers,gmbh,DE662610051,DE,components,2023-12-11,
484,portal_v1,E390,Redstone Chemicals Lda.,redstone chemicals lda,,PT253396557,PT,E510,VANTAGE INDUSTRIES GMBH,vantage industries mgbh,,DE784402277,DE,raw_material,2022-02-10,Duplicate of prior quarter submission
485,portal_v2,E350,Oakridge Logistics A.Ş.,oakridge logistics,a s,7963609841,TR,E062,apex machinery gmbh,apex machinery,gmbh,DE660561327,DE,raw_material,2023-01-30,
486,legacy_manual_import,E117,Copperfield Dyeworks Pvt. Ltd.,copperfield dyeworks,pvt ltd,56IJOUL3230A1Z5,IN,E018,Alpine Materials Ltd.,alpine materials,ltd,,GB,packaging,2024-03-27,Contrato renovado según acuerdo marco
487,portal_v2,E390,Redstone Chemicals Lda.,redstone chemicals lda,,PT253396557,PT,E207,Highland Components SAS,highland components sas,,FR34285656538,FR,packaging,2024-01-18,
488,legacy_manual_import,E403,Rhine Packaging Lda.,rhine packaging lda,,PT928840726,PT,E464,Summit Materials Inc.,summit materials,inc,919170792,US,raw_material,,
489,portal_v2,E478,Sunrise Leather SARL,sunrise leather,sarl,FR17861973435,FR,E311,Millbrook Solutions Lda,millbrook solutions dla,,PT399423598,PT,packaging,2023-02-11,
490,portal_v2,E295,"Meridian Foundry Co., Ltd.",meirdian foundry,co ltd,6936664761,VN,E219,Highland Steel Sp. z o.o.,highland steel,sp z o o,PL7859126165,,components,,
491,portal_v2,E061,Apex Industries A.Ş.,apex industries,a s,6656315572,TR,E065,Atlantic Fasteners Pvt. Ltd.,atlantic fasteners,pvt ltd,66ARKJO4166A1Z5,IN,raw_material,2022-04-02,Pending re-confirmation
492,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,E408,RIVERSIDE CHEMICALS SAS,riverside hcemicals sas,,FR78380759187,FR,finishing,2025-06-25,
493,portal_v1,E470,Summit Tooling S.L.,summit tooilng,s l,,ES,E269,IRONGATE CIRCUITS B.V.,irongate circutis b v,,NL410656411B65,,component,2023-08-04,
494,portal_v2,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E318,Nordic Fibers SAS,nordic fibers sas,,FR32114540305,FR,dyeing,2025-09-27,
495,portal_v2,E390,Redstone Chemicals Lda.,redstone chemiacls lda,,PT253396557,PT,E510,VANTAGE INDUSTRIES GMBH,vantage industries,gmbh,DE784402277,DE,raw_material,2022-07-18,
496,portal_v2,E162,Danube Components Sp. z o.o.,danube components,sp z oo,PL8781446242,,E428,silverline leather s.r.l.,silverline leather s r l,,IT37704414833,,materia_prima,,
497,legacy_manual_import,E215,highland plastics s.p.a.,highland plastics s p a,,IT24406348066,,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,finishing,2022-12-26,Contact information outdated
498,portal_v2,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E116,"Copperfield Alloys Co., Ltd.",copperfield alloys,co ltd,LQHUJWRG88MSHM9299,CN,raw_material,2024-06-12,Société certifiée ISO 9001
499,portal_v2,E376,Premier Dyeworks A.Ş.,premier dyeworks,a s,6954004320,TR,E401,Rhine Foundry Ltd.,rhine foundry,ltd,GB430959230,,raw_material,2025-06-14,
500,portal_v1,E501,VANTAGE ALLOYS SARL,vantage alloys,sarl,193008687593586,MA,E504,Vantage Assemblies SAS,vantage assemblies sas,,FR03191475196,FR,subcontracted_labor,2024-08-14,
501,portal_v2,E405,RHINE TOOLING AG,rhine tooling,ag,DE535425961,,E212,Highland Mcahinery SARL,highland machinery,sarl,,MA,raw_material,2024-02-20,
502,portal_v2,E390,Redstone Chemicals Lda.,redstone chemicals lda,,PT253396557,PT,E207,Highland Components SAS,highland components sas,,FR34285656538,FR,components,2023-02-08,
